kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
kernel-46.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-47.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-48.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-49.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-50.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-51.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-52.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-53.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-54.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-55.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-56.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-57.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-58.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
