kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
kernel-1.trace, _Z11srad_cuda_1PfS_S_S_S_S_iif, 8, 8, 1, 64, 16, 16, 1, 256, 132544,132544
kernel-2.trace, _Z11srad_cuda_2PfS_S_S_S_S_iiff, 8, 8, 1, 64, 16, 16, 1, 256, 49216,49216
kernel-3.trace, _Z11srad_cuda_1PfS_S_S_S_S_iif, 8, 8, 1, 64, 16, 16, 1, 256, 132544,132544
kernel-4.trace, _Z11srad_cuda_2PfS_S_S_S_S_iiff, 8, 8, 1, 64, 16, 16, 1, 256, 49216,49216
